"geo","RD_2007","RD_2008","RD_2009","RD_2010","RD_2011","RD_2012","RD_2013","RD_2014","RD_2015","RD_2016","RD_2017","RD_2018","RD_2019","energy_2007","energy_2008","energy_2009","energy_2010","energy_2011","energy_2012","energy_2013","energy_2014","energy_2015","energy_2016","energy_2017","energy_2018","energy_2019","GDP_2007","GDP_2008","GDP_2009","GDP_2010","GDP_2011","GDP_2012","GDP_2013","GDP_2014","GDP_2015","GDP_2016","GDP_2017","GDP_2018","GDP_2019"
"AT",829.147,908.53,897.39,965.851,988.2,1104.627,1132.447,1207.738,1222.975,1280.967,1286.898,1350.22,1404.396,8.72,8.78,8.9,8.49,9,9.09,8.98,9.37,9.24,9.3,9.34,9.79,9.72,35870,36280,34830,35390,36300,36390,36180,36130,36140,36390,36980,37690,38070
"BE",600.587,638.679,643.963,690.735,742.775,795.348,822.138,854.251,900.414,959.47,1045.478,1154.376,1319.006,5.37,5.22,5.55,5.32,5.83,6.16,5.97,6.43,6.51,6.21,6.24,6.34,6.45,33760,33640,32700,33330,33460,33490,33490,33870,34360,34620,35050,35510,36110
"BG",18.436,22.161,24.723,29.046,29.804,34.624,36.617,46.914,60.376,52.48,54.733,60.116,73.198,1.8,1.94,2.12,2.13,2.03,2.13,2.28,2.2,2.18,2.29,2.28,2.35,2.47,4800,5120,4970,5080,5320,5390,5390,5470,5700,5910,6120,6330,6630
"CY",92.853,94.502,104.135,105.23,107.035,98.98,101.018,104.337,100.691,116.483,128.935,154.005,187.733,6.17,6.12,6.21,6.61,6.72,6.9,7.22,6.99,7.04,6.94,7.14,7.34,7.75,24420,24680,23550,23460,22970,21840,20450,20310,21120,22410,23470,24500,25510
"CZ",175.643,193.282,184.592,200.26,243.354,273.883,284.959,294.001,308.423,280.777,324.548,377.61,408.303,3.39,3.55,3.6,3.47,3.68,3.69,3.67,3.88,4.08,4.23,4.26,4.38,4.59,15250,15500,14690,15020,15310,15170,15160,15480,16290,16670,17490,17990,18460
"DE",747.142,809.971,818.002,855.896,941.999,984.843,990.137,1043.078,1093.405,1121.665,1206.394,1264.236,1325.301,7.55,7.53,7.59,7.52,8.24,8.21,8.07,8.62,8.7,8.83,9.03,9.34,9.65,31920,32320,30580,31940,33200,33280,33330,33920,34130,34610,35410,35650,35950
"DK",1077.742,1223.759,1282.035,1281.596,1312.657,1360.017,1371.839,1376.213,1473.678,1534.208,1503.199,1551.092,1568.648,11.55,11.87,11.97,11.57,12.55,13.22,13.19,14.01,14.38,14.53,14.96,15.18,15.73,46210,45700,43220,43840,44240,44170,44410,44890,45630,46720,47740,48450,48970
"EE",129.306,155.434,147.778,174.575,289.132,287.27,246.971,217.914,230.304,205.434,231.31,277.182,341.911,2.69,2.89,3.09,2.4,2.66,2.87,2.63,2.89,3.38,2.85,3.04,3.27,4.01,13230,12590,10770,11060,11890,12320,12540,12960,13230,13620,14410,14920,15450
"EL",121.566,144.795,133.932,121.637,125.066,120.652,133.199,136.247,156.918,162.669,189.301,202.893,217.972,7.23,7.18,7.2,7.22,6.65,6.34,6.97,7.09,7.07,7.17,6.94,7.19,7.31,22500,22370,21350,20150,18130,16940,16630,16830,16900,16890,17110,17430,17780
"ES",297.923,321.912,315.353,313.821,303.946,286.034,278.459,275.643,283.576,285.529,302.248,320.328,331.763,7.1,7.4,7.71,7.74,7.7,7.51,7.96,8.19,8.22,8.4,8.29,8.48,8.85,24380,24200,23100,23040,22770,22080,21850,22220,23090,23780,24440,24890,25180
